iter	MultiClassOneVsAll
0	0.6729268362
1	0.6545944378
2	0.6355491916
3	0.6184194896
4	0.6016991188
5	0.5860113795
6	0.5721576529
7	0.5580236971
8	0.5438947251
9	0.5308628478
10	0.5184996812
11	0.5068168182
12	0.495218885
13	0.4841689787
14	0.4737808002
15	0.4639719863
16	0.4543867026
17	0.4453700657
18	0.4365025442
19	0.4282834175
20	0.4199918161
21	0.4123079951
22	0.4046915183
23	0.398179385
24	0.3915669667
25	0.3846273737
26	0.3786614125
27	0.3724296156
28	0.3666765896
29	0.3607989044
30	0.3551479882
31	0.3501560316
32	0.3448889018
33	0.3402021647
34	0.3351808621
35	0.330409089
36	0.3258505481
37	0.3214113792
38	0.3170980844
39	0.3131549179
40	0.3092403471
41	0.3051711622
42	0.3012150652
43	0.2977989321
44	0.2944289181
45	0.2911957534
46	0.2884450724
47	0.2851491864
48	0.2827088591
49	0.2797865689
50	0.2768541974
51	0.274210612
52	0.271607855
53	0.2690283969
54	0.2662730746
55	0.2643515836
56	0.2619780006
57	0.2598986129
58	0.2576629024
59	0.255814738
60	0.253726943
61	0.2519747168
62	0.2502913514
63	0.2483429777
64	0.2462955537
65	0.244299979
66	0.2422955549
67	0.2403620603
68	0.2386149401
69	0.2368873138
70	0.2352771241
71	0.2337125227
72	0.2320580314
73	0.2305496359
74	0.229519435
75	0.2280087366
76	0.2265472088
77	0.2252527758
78	0.2242370633
79	0.2228756593
80	0.2216317114
81	0.2204209429
82	0.2192615526
83	0.2181843275
84	0.2171840451
85	0.2164656223
86	0.2154025006
87	0.2143346989
88	0.2133421355
89	0.212202839
90	0.2111839415
91	0.2102888171
92	0.2092015281
93	0.2083575144
94	0.2073742788
95	0.2065786981
96	0.2058336859
97	0.2049824507
98	0.2040754085
99	0.2032127523
100	0.2023550714
101	0.2015050683
102	0.2010038997
103	0.2001975041
104	0.1994150548
105	0.1988779672
106	0.198156086
107	0.1974160643
108	0.1968297619
109	0.196320258
110	0.1956854144
111	0.1950129704
112	0.1945344687
113	0.1939895537
114	0.193539886
115	0.1928255717
116	0.192226534
117	0.1917235228
118	0.1912611033
119	0.1907997905
120	0.1902976187
121	0.1899424418
122	0.1896185291
123	0.1892548315
124	0.1888536205
125	0.1883939376
126	0.1880897392
127	0.1877315356
128	0.1871953945
129	0.1866641847
130	0.1862169088
131	0.1857862149
132	0.1853726092
133	0.1848586671
134	0.1845042321
135	0.1839852974
136	0.1835508637
137	0.1830650189
138	0.1825566849
139	0.1821690124
140	0.1817620876
141	0.1815114241
142	0.1811289627
143	0.1807284089
144	0.1803786881
145	0.180059923
146	0.1796451498
147	0.1792103558
148	0.1788425968
149	0.178503288
150	0.178132868
151	0.1777698664
152	0.1775439804
153	0.1773123809
154	0.176911067
155	0.176586975
156	0.1761980956
157	0.1759243423
158	0.1756081183
159	0.1752920145
160	0.1750868329
161	0.1748473873
162	0.1745281473
163	0.1742692227
164	0.1740611531
165	0.1737538412
166	0.1735365497
167	0.1733225822
168	0.1730860642
169	0.1728524519
170	0.1724877592
171	0.1722253023
172	0.172048572
173	0.1717894875
174	0.1714981835
175	0.1712250735
176	0.1709541124
177	0.170806608
178	0.17061317
179	0.1703216026
180	0.1701299783
181	0.1699177182
182	0.1696217305
183	0.1694112051
184	0.1692633954
185	0.1691104591
186	0.1688595688
187	0.1686923062
188	0.1684646407
189	0.1682778335
190	0.168088761
191	0.1679520815
192	0.1677487739
193	0.1674919149
194	0.167282134
195	0.1670888844
196	0.1669110141
197	0.1667233605
198	0.166466306
199	0.166339284
200	0.1661509431
201	0.1659621692
202	0.1657649299
203	0.1656008909
204	0.1654022946
205	0.1651963887
206	0.1649955591
207	0.1648599278
208	0.1647125607
209	0.1645141022
210	0.1643626215
211	0.1642439507
212	0.1641065293
213	0.163885708
214	0.1636826473
215	0.1634744967
216	0.1632796617
217	0.1631502285
218	0.1630142774
219	0.1628494091
220	0.1626950808
221	0.1625549494
222	0.1623731423
223	0.1622222704
224	0.1620659766
225	0.161952783
226	0.1617450522
227	0.1616109169
228	0.1614426728
229	0.1612949378
230	0.1611951374
231	0.1610545275
232	0.1609389669
233	0.160828546
234	0.1606558134
235	0.160485738
236	0.1603637296
237	0.1602330302
238	0.1601184493
239	0.1599592527
240	0.1598197712
241	0.1596761471
242	0.1595362447
243	0.1594075717
244	0.1592617728
245	0.1590680183
246	0.15891706
247	0.1587496869
248	0.1586848506
249	0.1585192426
250	0.1583709444
251	0.1582785972
252	0.1581611927
253	0.1580511747
254	0.1579848004
255	0.1578565393
256	0.1577254777
257	0.1575585343
258	0.1574114873
259	0.1573106116
260	0.1571858139
261	0.1570522372
262	0.1569425924
263	0.156765318
264	0.15664875
265	0.1565252588
266	0.1563561289
267	0.1562382612
268	0.1561223375
269	0.1559813866
270	0.1558649998
271	0.1557420424
272	0.1556496358
273	0.1555497129
274	0.1554591726
275	0.1553674111
276	0.1552172232
277	0.155115274
278	0.1549659363
279	0.1548631016
280	0.154780893
281	0.1546705193
282	0.1545839663
283	0.1544609144
284	0.1543342503
285	0.1542307451
286	0.1541132487
287	0.1540429202
288	0.1538866551
289	0.1537779523
290	0.1536781682
291	0.1535545661
292	0.1534532599
293	0.1533307665
294	0.1532093672
295	0.1530958435
296	0.1530232448
297	0.152929262
298	0.1528414704
299	0.1527444148
300	0.1526788357
301	0.1526181155
302	0.1525157709
303	0.1523847771
304	0.1523215909
305	0.1522369901
306	0.1521425967
307	0.1520541451
308	0.1518922634
309	0.1517644742
310	0.1516613259
311	0.1515471104
312	0.1514651329
313	0.1513645606
314	0.1512986906
315	0.1512352649
316	0.1511158644
