iter	Passed	Remaining
0	90	90058
1	126	62979
2	154	51418
3	181	45279
4	208	41412
5	236	39147
6	264	37555
7	290	36076
8	328	36136
9	359	35574
10	387	34828
11	415	34203
12	442	33574
13	470	33123
14	499	32783
15	537	33043
16	566	32736
17	595	32480
18	625	32306
19	663	32500
20	697	32538
21	756	33610
22	804	34165
23	845	34390
24	877	34236
25	911	34148
26	926	33371
27	955	33167
28	992	33246
29	1025	33168
30	1054	32966
31	1081	32708
32	1108	32492
33	1136	32290
34	1165	32136
35	1207	32347
36	1235	32154
37	1263	31994
38	1291	31831
39	1319	31665
40	1345	31480
41	1375	31377
42	1419	31586
43	1447	31453
44	1475	31302
45	1502	31164
46	1530	31034
47	1557	30880
48	1574	30559
49	1615	30688
50	1644	30604
51	1671	30481
52	1699	30369
53	1726	30249
54	1755	30159
55	1782	30044
56	1809	29934
57	1842	29926
58	1881	30012
59	1908	29897
60	1935	29789
61	1962	29690
62	1989	29584
63	2016	29484
64	2042	29380
65	2082	29472
66	2112	29418
67	2139	29329
68	2167	29247
69	2194	29153
70	2223	29094
71	2251	29021
72	2278	28928
73	2312	28937
74	2351	29002
75	2381	28950
76	2431	29151
77	2489	29422
78	2567	29938
79	2621	30148
80	2676	30365
81	2741	30687
82	2807	31016
83	2846	31036
84	2879	30991
85	2906	30889
86	2933	30787
87	2961	30695
88	2988	30589
89	3019	30526
90	3056	30533
91	3088	30484
92	3114	30377
93	3142	30291
94	3169	30194
95	3196	30102
96	3226	30040
97	3267	30074
98	3297	30015
99	3328	29958
100	3367	29971
101	3436	30258
102	3493	30428
103	3551	30594
104	3581	30528
105	3609	30441
106	3638	30363
107	3676	30362
108	3722	30428
109	3753	30366
110	3780	30280
111	3808	30192
112	3835	30106
113	3868	30066
114	3905	30052
115	3933	29977
116	3962	29904
117	3989	29820
118	4016	29734
119	4043	29651
120	4073	29591
121	4114	29611
122	4142	29532
123	4170	29460
124	4197	29381
125	4224	29305
126	4252	29231
127	4280	29164
128	4320	29168
129	4352	29128
130	4398	29175
131	4454	29290
132	4511	29411
133	4546	29379
134	4574	29311
135	4601	29234
136	4629	29161
137	4656	29088
138	4683	29013
139	4711	28945
140	4751	28949
141	4780	28885
142	4808	28815
143	4836	28748
144	4863	28679
145	4890	28608
146	4919	28547
147	4958	28542
148	4993	28520
149	5027	28488
150	5057	28438
151	5085	28373
152	5112	28305
153	5150	28293
154	5178	28232
155	5205	28163
156	5239	28132
157	5286	28172
158	5337	28232
159	5402	28361
160	5444	28374
161	5492	28411
162	5539	28445
163	5583	28463
164	5614	28410
165	5648	28377
166	5677	28318
167	5710	28280
168	5767	28360
169	5815	28392
170	5870	28461
171	5899	28402
172	5926	28333
173	5956	28275
174	5988	28231
175	6035	28256
176	6085	28295
177	6149	28400
178	6177	28333
179	6207	28276
180	6234	28210
181	6273	28198
182	6311	28178
183	6367	28237
184	6409	28235
185	6435	28165
186	6464	28105
187	6498	28067
188	6527	28010
189	6560	27966
190	6615	28020
191	6679	28108
192	6728	28132
193	6757	28073
194	6784	28009
195	6811	27941
196	6843	27895
197	6895	27932
198	6951	27979
199	6992	27968
200	7020	27906
201	7048	27845
202	7076	27782
203	7108	27735
204	7147	27717
205	7200	27755
206	7247	27763
207	7275	27702
208	7302	27638
209	7331	27579
210	7358	27516
211	7386	27454
212	7417	27408
213	7460	27401
214	7508	27413
215	7555	27425
216	7585	27369
217	7612	27308
218	7647	27271
219	7678	27225
220	7707	27169
221	7735	27109
222	7767	27065
223	7807	27049
224	7850	27041
225	7901	27061
226	7930	27004
227	7959	26951
228	7987	26890
229	8016	26839
230	8044	26779
231	8083	26759
232	8116	26717
233	8152	26685
234	8195	26677
235	8232	26652
236	8260	26594
237	8290	26542
238	8328	26517
239	8365	26491
240	8395	26441
241	8427	26397
242	8461	26358
243	8506	26354
244	8550	26349
245	8579	26297
246	8609	26245
247	8637	26190
248	8665	26135
249	8696	26088
250	8741	26084
251	8786	26081
252	8823	26050
253	8852	26000
254	8880	25944
255	8908	25890
256	8936	25835
257	8975	25814
258	9017	25800
259	9058	25781
260	9099	25763
261	9127	25711
262	9155	25655
263	9184	25606
264	9220	25574
265	9250	25525
266	9285	25491
267	9333	25492
268	9373	25471
269	9407	25435
270	9439	25391
271	9466	25336
