iter	Passed	Remaining
0	0	890
1	1	775
2	2	741
3	2	735
4	3	726
5	4	673
6	4	676
7	5	682
8	6	679
9	6	643
10	7	640
11	8	661
12	8	647
13	9	646
14	9	648
15	10	648
16	11	650
17	11	651
18	12	652
19	13	651
20	13	651
21	14	634
22	14	632
23	15	631
24	16	629
25	16	628
26	17	627
27	18	625
28	18	623
29	19	624
30	19	617
31	20	616
32	21	617
33	21	621
34	22	620
35	23	632
36	24	630
37	24	628
38	25	627
39	26	626
40	26	625
41	27	624
42	28	623
43	28	622
44	29	620
45	29	619
46	30	618
47	31	617
48	31	616
49	32	616
50	33	615
51	33	614
52	34	613
53	35	619
54	36	618
55	36	617
56	37	616
57	37	615
58	38	614
59	39	614
60	39	612
61	40	611
62	41	610
63	41	610
64	42	605
65	42	600
66	43	600
67	43	600
68	44	599
69	45	598
70	45	597
71	46	594
72	46	594
73	47	594
74	48	593
75	48	595
76	49	592
77	50	591
78	50	590
79	51	589
80	51	589
81	52	585
82	52	584
83	53	584
84	54	584
85	54	583
86	55	583
87	56	582
88	56	581
89	57	580
90	58	580
91	58	579
92	59	578
93	59	577
94	60	577
95	61	575
96	61	577
97	62	576
98	63	575
99	63	575
100	64	574
101	65	573
102	65	573
103	66	572
104	67	571
105	67	570
106	68	569
107	68	566
108	69	566
109	69	566
110	70	565
111	71	564
112	71	561
113	72	560
114	72	559
115	73	559
116	74	558
117	74	555
118	74	554
119	75	555
120	76	555
121	76	552
122	77	551
123	77	550
124	78	550
125	79	549
126	79	549
127	80	548
128	81	548
129	81	547
130	82	546
131	82	543
132	83	542
133	83	542
134	84	542
135	85	542
136	85	541
137	86	541
138	87	540
139	87	539
140	88	540
141	89	539
142	89	538
143	90	538
144	91	537
145	91	536
146	92	536
147	93	536
148	93	535
149	94	534
150	94	534
151	95	533
152	96	532
153	96	532
154	97	529
155	97	529
156	98	528
157	99	528
158	99	525
159	99	524
160	100	524
161	101	523
162	102	524
163	102	523
164	103	523
165	103	522
166	104	521
167	106	526
168	107	526
169	107	527
170	108	526
171	109	526
172	110	526
173	110	525
174	111	525
175	112	525
176	112	524
177	113	524
178	114	523
179	114	523
180	115	524
181	116	524
182	117	523
183	118	523
184	118	523
185	119	522
186	120	521
187	120	520
188	122	527
